Category,Instrument,Ticker,Cycle1,Cycle1_Match,Cycle1_Delta,Cycle2,Cycle2_Match,Cycle2_Delta
Index,S&P 500,^GSPC,349,345,4,217,220,3
Index,Nasdaq Composite,^IXIC,349,345,4,225,220,5
Index,Dow Jones Industrial Average,^DJI,314,314,0,419,416,3
Index,Russell 2000,^RUT,349,345,4,225,220,5
Index,FTSE 100,^FTSE,351,355,4,574,582,8
Index,DAX Performance Index,^GDAXI,353,355,2,235,237,2
Index,CAC 40,^FCHI,355,355,0,183,183,0
Index,Euro Stoxx 50,^STOXX50E,556,551,5,194,196,2
Index,Nikkei 225,^N225,471,470,1,306,308,2
Index,Hang Seng,^HSI,187,189,2,342,345,3
Index,Shanghai Composite,000001.SS,465,470,5,605,605,0
Index,S&P/ASX 200,^AXJO,351,355,4,180,179,1
Index,TSX Composite,^GSPTSE,349,345,4,216,220,4
Index,Bovespa Index,^BVSP,213,206,7,563,564,1
Index,US Dollar Index,DX-Y.NYB,395,403,8,287,291,4
